Estacao,Componente,Tipo Onda,Hora,Min,Seg,Data,Distancia,Tipo Ev,Lat,Long,Prof,Estacoes,Magnitudes,ID,Sentido,Regiao,Onda,Amplitude
PTCA,EZ,IAML,3,33,16.98,2014-01-05T03:33:04.500000,Local,Quake,38.431,-28.405,0.0,10,"[{'Magnitude': ' 2.6', 'Tipo': 'L'}, {'Magnitude': ' 2.6', 'Tipo': 'C'}]",20140105033304,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],652.0
PLUZ,EN,,3,33,25.77,2014-01-05T03:33:04.500000,Local,Quake,38.431,-28.405,0.0,10,"[{'Magnitude': ' 2.6', 'Tipo': 'L'}, {'Magnitude': ' 2.6', 'Tipo': 'C'}]",20140105033304,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
STGR,EN,,3,33,24.54,2014-01-05T03:33:04.500000,Local,Quake,38.431,-28.405,0.0,10,"[{'Magnitude': ' 2.6', 'Tipo': 'L'}, {'Magnitude': ' 2.6', 'Tipo': 'C'}]",20140105033304,II/III  -Pico: S. Caetano,"Pico,VZ14,SZ06,FE95 405",['2014-01-05-0331-37S_SWARM.SEI'],
SET4,EZ,P,8,39,32.92,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],
SET4,EZ,S,8,39,40.72,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],
SET2,EZ,P,8,39,33.33,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],
SET2,EZ,S,8,39,41.05,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],
PFET,EZ,P,8,39,33.07,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],
PSAN,EZ,P,8,39,34.49,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],
PSAN,EZ,S,8,39,42.69,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],
FAC,EZ,S,8,39,44.88,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],
PFAV,EZ,P,8,39,35.6,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],
PFAV,EN,S,8,39,45.57,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],
PFAV,EZ,IAML,8,39,45.61,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],78.0
PRIB,EZ,P,8,39,35.52,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],
PRIB,EN,S,8,39,46.3,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],
PRIB,EZ,IAML,8,39,46.91,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],173.0
CML,EZ,P,8,39,36.79,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],
CMLA,B2,S   4,8,39,50.79,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],
PVNV,EZ,P,8,39,36.34,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],
